Wall time,Step,Value
1776845249.4870412,114,8.290536880493164
1776845250.8126469,209,4.858956813812256
1776845252.4307163,325,3.6671245098114014
1776845253.5471652,406,3.002223253250122
1776845254.7534792,495,2.2630252838134766
1776845255.8351936,572,2.020829677581787
1776845256.9561899,653,1.1870753765106201
1776845258.4986966,754,0.9948976635932922
1776845259.6436963,837,0.5332085490226746
1776845262.0635514,1006,0.8732393383979797
1776845264.3681884,1172,1.0463281869888306
1776845268.139557,1404,2.150092840194702
1776845270.981434,1567,2.0549023151397705
1776845277.20759,1986,2.5899300575256348
1776845282.3756158,2308,1.7682639360427856
1776845292.6055505,2761,3.9468836784362793
1776845303.6796222,3220,2.595643997192383
1776845312.931923,3705,1.2992521524429321
1776845329.7035964,4184,4.727178573608398
1776845350.1011639,4678,2.8781397342681885
1776845367.9480126,5112,1.3885103464126587
1776845384.8134923,5543,0.1545041799545288
1776845401.1087804,6036,-0.14012129604816437
1776845420.9196956,6741,2.351409435272217
1776845430.3769956,7171,1.8463584184646606
1776845447.760515,7826,10.775556564331055
1776845458.5161898,8168,11.546333312988281
1776845471.0826104,8578,14.325424194335938
1776845488.8811796,9202,22.83968734741211
1776845506.1890237,9766,25.3691463470459
1776845534.6319003,10694,34.83538055419922
1776845556.107546,11379,43.822750091552734
1776845571.2162473,12088,56.41466522216797
1776845576.8629293,12404,60.72468566894531
1776845584.5892568,12696,64.41946411132812
1776845591.270795,12982,67.93132019042969
1776845597.117515,13296,71.7328872680664
1776845606.685057,13791,78.78802490234375
1776845625.6947615,14681,79.96150970458984
1776845645.1681032,15676,82.39988708496094
1776845665.096772,16691,92.48536682128906
1776845676.8147938,17364,100.65850830078125
1776845687.8160565,17912,107.46192932128906
1776845693.9163766,18232,109.2275390625
1776845711.4501212,18971,120.19634246826172
1776845721.5375535,19488,128.57968139648438
1776845733.1514196,20107,140.40257263183594
1776845741.3274455,20538,144.78701782226562
1776845751.463943,21056,150.71717834472656
1776845762.324122,21683,155.7389678955078
1776845774.3854084,22345,156.136962890625
1776845782.7211463,22815,162.65179443359375
1776845793.5657485,23409,169.29603576660156
1776845812.9922242,24385,178.8887939453125
1776845830.382782,25253,188.1822967529297
1776845838.030225,25676,179.7548370361328
1776845849.179046,26290,176.11392211914062
1776845860.8084605,26908,168.4376983642578
1776845871.5976589,27511,168.33082580566406
1776845882.4133482,28156,174.2711639404297
1776845898.6217756,29030,179.856689453125
1776845908.542121,29633,186.80465698242188
1776845917.9595065,30209,191.3404541015625
1776845930.346046,30870,203.54696655273438
1776845940.8548741,31434,212.11050415039062
1776845952.2869134,32026,214.13441467285156
1776845964.2029958,32694,222.44186401367188
1776845973.444723,33214,227.26820373535156
1776845985.9886043,33932,238.69064331054688
1776846003.8550391,34933,249.50865173339844
1776846027.437047,36257,261.1719970703125
1776846066.3608975,38396,277.33319091796875
1776846076.3838806,38896,279.8493347167969
1776846098.5492125,40059,279.8189392089844
1776846111.7627964,40812,282.0305480957031
1776846125.570246,41565,279.7301025390625
1776846153.0023787,43019,287.181396484375
1776846167.742477,43798,286.0685729980469
1776846183.950161,44597,269.8631591796875
1776846239.5966067,47625,283.71722412109375
1776846261.2876778,48914,296.5840759277344
1776846293.395291,50797,314.0722961425781
1776846301.146601,51232,313.644287109375
1776846326.670598,52564,319.81842041015625
1776846352.7092142,54036,321.80010986328125
1776846391.3970945,56367,337.765380859375
1776846407.0030158,57143,346.3920593261719
1776846420.7617154,57885,349.7335510253906
1776846431.8014998,58568,349.45428466796875
1776846451.955534,59793,354.3759460449219
1776846466.8296843,60653,355.9373474121094
1776846496.0075576,62106,360.3958740234375
1776846518.3794916,63220,369.18170166015625
1776846533.3460267,63902,367.2151184082031
1776846553.8844452,64940,366.0943603515625
1776846565.194457,65548,359.37359619140625
1776846576.6829503,66112,345.3504333496094
1776846590.1894639,66709,350.294921875
1776846606.946983,67446,358.6187438964844
1776846619.63556,67975,364.5662536621094
1776846630.7897894,68498,369.0277099609375
1776846642.7201002,69038,367.27838134765625
1776846659.0014849,69767,375.3107604980469
1776846671.4327595,70462,390.53814697265625
1776846682.6275468,71140,381.84710693359375
1776846699.4365904,72166,391.7102966308594
1776846731.0197103,74018,412.3430480957031
1776846744.5702362,74791,426.20062255859375
1776846765.5036306,76064,446.2303771972656
1776846783.4430277,77041,455.8504638671875
1776846807.0770278,78371,455.17138671875
1776846849.1480577,80630,465.8443298339844
1776846879.8016062,82497,477.68353271484375
1776846926.6827812,85334,494.8016662597656
1776846951.4931793,86867,501.9248046875
1776847010.2562754,89168,510.37353515625
1776847025.9599333,89966,494.73419189453125
1776847039.6009188,90640,487.7147216796875
1776847078.6533022,92814,520.7626342773438
1776847105.7089064,94381,534.8208618164062
1776847139.110736,95894,551.2788696289062
1776847161.266512,96997,561.1746826171875
1776847195.5882986,98478,580.7166748046875
1776847229.5374987,99902,597.1474609375
